1,1
2,228667704323788285111695436746134732031312791601151
3,82066608880687320981066276135476569388073109950118899349469354
4,120109306396641223505782124095194270895046025018312921221946507056381952
5,686285420611802767127426016540347196730868190850561598396636962890624
6,1316808366921565743303278627537081259870542845903390884585699643338651400652630
7,19442860732081415914988772511017175860933972687368491951832265906843651840
8,99718017755397393878713586676626542122867517081998460597000755302291345296588800
9,4708613248380441780316383562103512781148335357922793154754285855803152548690144
10,64610753992417945525548956047950622853864798000115019045335276789572050245508224
11,93934509151440055163630084208848515281296318605577541428394708399100416000
12,1551107812195213641758435008808689180849426383521389684004552207197170347696675880960
13,1709305930629278125607822955291461583665971200
14,947925873078384755722140791184224587721283814133457671567940767569675375994630400
15,794001515666631272816733431074658704351994158140612796053588140800934384341936896
16,155532187628266921115121223256155031908042827713281472239235232663364107090945638400
17,379733259400778652610907085864570156530185586745901056000
18,5692142386055557281619471450506966854702664176264083674610786147624767682327172679456
19,20151736207984875155353923223593667077812243590514652020736000
20,823572233219911588286851437542813969558848965235422156018471151830906053492943618048
21,132845792016760495627124981411089688662333380056405694665006240152785483029698275840
22,6754453821826585671920230055522129289456207895762083398242541164457549454778675200
23,19630596773911560040659393775516839081192854990604313297574952960000
24,222877795151214905274278005010636083375901650462246010160026085816339145482025775923200
26,3320471138997786945435395494614885462659362961956477944074002308710400
28,17179388661121521889875440765984480886107320590080529856440328403339585053293281280
30,7873655259603727517206545431424651515209227938661938347540755945138693608064907941120
33,37095649868129693296624690777893561230857862906769646911305427124143652764672000
34,202748083876909691338083613258243722075573428636025141600873168979525632000
35,1011012351561910676678454822981244436688982900567782896214111476445030656348160
36,304802119911637259843091751050336316203590974468165421678544957123981691482267753381888
38,15246638151357244073360007168254348259793714107476894178523149567293325312000
39,165965775852760647286665066598587208386097854020910982581928724530367692800
40,7147054045391739491526299535193893862420539915125618548480689373161369708654703411200
42,23837025734357103598296868688801668125881186220628871739935702289892773242355909957120
44,807973133974377348632570812566517281414997245212557805176433392165702153546393190400
45,270086761206813752759702032241895233135851212455610095175676863795622051339638809856
46,1649055276508879928978789327986296718619996616294675780506702794496338821120000
48,683358838155205708007606585462074573479074995328227256472799783516171215518765678592000
51,556591566671990548927808024570327451731233278767693972426411283814938968064000
52,3885034360699615005321588620435239129640876773521879578755432712073836180275200
55,15906827118598520255903193639136993256444042091468227918778276561416600899584000
56,1155550129618390476330910918754624631043716717747645596060775680762588819540567654400
57,6325620996977387350177021839288515278673499589588196459191814484593481744384000
60,2246161684773331659004162028989492303518925771765950637295023710837885965652303324119040
63,1458590970945789552109022823317028004171511902546725471950862569932695765662946324480
65,121686876850036306478808809502147271203575790421743075699625945038416334028800
66,5844281569156479149817249099820790997298205775822759666598667797385060051329110220800
68,651624235655932869974300231368021209251333466252619914510030957319382819143680000
69,665371053412464238752249223753334592416368058187260148059615954451594073866240000
70,536651527433861282371586105752635422704582691483313941310006357841121613686505369600
72,2932402337605795263355205017125793543350100790136653438996819516027994340521439081267200
76,3128130705861876369748135849188679830576312954042716310139925254517287871840256000
77,454281448510770279581212005472653968845370109756818741803142070571949119733760000
78,7237810865077292745313864036183342752491744165862457410937447103266386554064076800
80,21904657407557762332185021878422898416758609733354354435149225413081275892909054361600
84,540227463707681871881857628474097058219885977967947172131329592265139899846747635056640
85,6539437237668471915417537539793078483886208461593632530963609870413254098944000
88,3726287168812246830084693595993048171848027109977231396516874442580896447610224640000
90,436711288777174079859860480276579313418112301856260947020225676288964090463180639820544
91,5707787489761779545031659938668881475327622930974236224867273174917906432000
92,61641213592192458737997690194495166558201199642102692687396183998922047524700160000
95,42076136877363871022113153669302198881462725387741338948402677449485347979264000
