1,1
2,1712033103871
3,305050865601554
4,78249923322052608
5,133528172514624
6,2525899258805378030
7,153245517148800
8,6686140311939317760
9,498003771585860064
10,369389097809613504
11,44590694400
12,58583237300683020288
14,241705018047139200
15,130537467379005696
16,4917752866485043200
18,24970559256312507936
20,2605410632377147392
21,355260328171188480
22,9821323395072000
24,71297916490544578560
28,2368539656074690560
30,25120560876095358720
33,142866533685657600
35,65526218912563200
36,96239940139285512192
40,15618265703503626240
42,12578556375961194240
44,746396855776051200
45,1775964974937543936
48,20575755941865062400
55,4854321355161600
56,7226750599063142400
60,106837692696030707712
63,2379342903347773440
66,7314992028765388800
70,2006174642179276800
72,47657872020744437760
77,187238109413376000
80,427180279254220800
84,58198779190399795200
88,11796000893042688000
90,33546922888579640064
99,939311182223769600
105,2619629526110699520
110,558246955843584000
112,1029809601773568000
120,47567990879095357440
126,15638892429017088000
132,17071389678344601600
140,4041730755070525440
144,17140608705075609600
154,1310666765893632000
165,1961145827485286400
168,33191232997530009600
180,70438495825925111808
198,14089667733356544000
210,22486938756557045760
220,524266706357452800
231,4868190844747776000
240,9664953818126745600
252,24904228869557452800
280,4210777038363033600
315,893788916872642560
330,7436820316107571200
336,8238476814188544000
360,13601496373647114240
396,9902815564529664000
420,34725737761918156800
462,7115048157708288000
495,1572800119072358400
504,4897316772878745600
630,6919033261916160000
660,4194133650859622400
720,2883466884965990400
840,6087318979372646400
990,2621333531787264000
1260,5789818427749171200
2520,823847681418854400
