1,1
2,170911549183
3,33894540622394
4,4346957030144256
5,133528172514624
6,140621059298755526
7,153245517148800
8,294998638981939200
9,55333752398428896
10,34178553690432192
11,44590694400
12,2330232827455554048
14,23298374383021440
15,14385471333209856
16,150731886270873600
18,1371824848124089632
20,151839445189791744
21,39337151559333120
22,927085127270400
24,3293932519796244480
28,97419760907673600
30,1373347158867028224
33,15874019662233600
35,65526218912563200
36,3768152294808760320
40,835897246403788800
42,737199776831097600
44,100120377950208000
45,197329441659727104
48,911497647410380800
55,4854321355161600
56,671205306846412800
60,4199961633799421952
63,264371433705308160
66,404051175250329600
70,210461722916290560
72,1981453794190295040
77,187238109413376000
80,13349383726694400
84,1697725818678067200
90,1764876446897050368
99,104367909135974400
105,232824419423354880
110,4854321355161600
112,128726200221696000
120,1947044011463147520
126,854783686296207360
132,637129677864960000
140,223125413717606400
144,714192029378150400
154,187238109413376000
165,213590139627110400
168,1050269239266508800
180,2320395168471367680
198,759701292082790400
210,1053174509332070400
231,374476218826752000
240,407156203664179200
252,689877080447385600
280,68653973451571200
315,99309879652515840
330,213590139627110400
336,257452400443392000
360,571019888909352960
420,961155628321996800
462,374476218826752000
495,174755568785817600
504,238381852262400000
630,395380140162416640
720,120144453540249600
840,240288907080499200
990,174755568785817600
1260,51490480088678400
